city,epsilon,method,rank_operational_utility,rank_CO2,rank_distance,rank_policy,composite_rank_score,final_rank,operational_utility_score_mean,CO2_reduction_pct_vs_shortest_mean,distance_penalty_pct_vs_shortest_mean,policy_violation_pct_mean
Chennai,0.2,XGBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-86.92709022751772,51.83081974421023,27.168262151392028,13.266092891385856
Delhi,0.05,AStar_EcoRouting,6.0,7.0,6.0,6.0,6.15,6.0,-43.75665714918504,59.21900018777994,15.53399347509935,11.120921657978643
Delhi,0.05,CARA_Full,1.0,11.0,2.0,1.0,2.6,1.0,17.428392355719232,14.814468490686059,0.8192743610391305,0.0
Delhi,0.05,CO2_Dijkstra,12.0,1.0,12.0,12.0,10.350000000000001,12.0,-467.14851229768226,69.6636891331712,59.44062241338365,54.5405683964881
Delhi,0.05,GradientBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-126.53919918757896,63.9084631163329,24.653941603504595,19.908394251876384
Delhi,0.05,MultiAgent_NoNegotiation,4.0,9.0,4.0,4.0,4.75,4.0,-23.63583324302286,57.263571522298115,13.047696686962354,8.903623087098675
Delhi,0.05,PredictiveDT_Routing,7.0,6.0,7.0,7.0,6.8500000000000005,7.0,-64.16990970237963,61.09881437492296,17.898382009949664,13.360131354117618
Delhi,0.05,RandomForest_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-126.53919918757896,63.9084631163329,24.653941603504595,19.908394251876384
Delhi,0.05,ShortestPath,3.0,12.0,1.0,1.0,3.75,3.0,0.0,0.0,0.0,0.0
Delhi,0.05,SingleAgent_Routing,11.0,2.0,11.0,11.0,9.65,11.0,-160.01543807429962,64.66492085515716,28.105518992853217,23.34991509042446
Delhi,0.05,StaticDT_Routing,2.0,10.0,3.0,3.0,3.5,2.0,0.11706043927150049,54.7865878639703,10.254348509291445,6.242298145521444
Delhi,0.05,Weighted_EcoRouting,5.0,8.0,5.0,5.0,5.45,5.0,-29.341318530772106,58.05818244732733,13.873143748329644,9.546003190668575
Delhi,0.05,XGBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-126.53919918757896,63.9084631163329,24.653941603504595,19.908394251876384
Delhi,0.1,AStar_EcoRouting,6.0,7.0,6.0,6.0,6.15,6.0,-19.727210163548325,59.251900341734924,15.598785492603332,8.106614819760672
Delhi,0.1,CARA_Full,1.0,11.0,2.0,1.0,2.6,1.0,29.752936889617022,27.69688747930967,2.9114747962894922,0.0
Delhi,0.1,CO2_Dijkstra,12.0,1.0,12.0,12.0,10.350000000000001,12.0,-432.2759593812003,69.78079326314247,59.74271625263643,50.120819732260095
Delhi,0.1,GradientBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-96.83150170960373,64.16968484791062,24.885527712346455,16.1732057186918
Delhi,0.1,MultiAgent_NoNegotiation,4.0,9.0,4.0,4.0,4.75,4.0,-1.8264974107770933,57.59858355143517,13.281909954438431,6.166433384390583
Delhi,0.1,PredictiveDT_Routing,7.0,6.0,7.0,7.0,6.8500000000000005,7.0,-37.20844302992571,61.12662657855353,17.938451658757568,9.984865087440692
Delhi,0.1,RandomForest_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-96.83150170960373,64.16968484791062,24.885527712346455,16.1732057186918
Delhi,0.1,ShortestPath,3.0,12.0,1.0,1.0,3.75,3.0,0.0,0.0,0.0,0.0
Delhi,0.1,SingleAgent_Routing,11.0,2.0,11.0,11.0,9.65,11.0,-124.16469921980887,64.66078275593246,27.695292289603252,18.96894661765414
Delhi,0.1,StaticDT_Routing,2.0,10.0,3.0,3.0,3.5,2.0,20.111265090168537,54.70479606301326,10.261682802317797,3.726798684850766
Delhi,0.1,Weighted_EcoRouting,5.0,8.0,5.0,5.0,5.45,5.0,-7.191048755914887,58.0725266981876,13.923400816159802,6.767423881492708
Delhi,0.1,XGBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-96.83150170960373,64.16968484791062,24.885527712346455,16.1732057186918
